unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
{39140479-DA81-3206-E050-A8C063057647},137000,2016-06-10 00:00,LE18 1HJ,S,N,F,24,"",KINGSTON AVENUE,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{39140479-DA87-3206-E050-A8C063057647},107500,2016-07-04 00:00,LE10 1EX,T,N,F,10,"",BOWLING GREEN ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{3B7E0B90-C2D8-EA99-E050-A8C062057E77},104000,2016-07-14 00:00,LE11 5EF,T,N,F,96,"",STATION STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{453D27A3-38E9-EF91-E050-A8C0630574D7},330000,2016-12-02 00:00,LE13 0AG,D,N,F,26,"",GLOUCESTER AVENUE,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
{453D27A3-39A8-EF91-E050-A8C0630574D7},113000,2016-12-22 00:00,LE18 4SN,T,N,F,3,"",FAIRFIELD STREET,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{453D27A3-39AA-EF91-E050-A8C0630574D7},190000,2016-12-09 00:00,LE16 9EP,T,N,F,59,"",CAXTON STREET,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,A
{369DFB16-8616-3A19-E050-A8C0620518C6},170000,2016-06-03 00:00,LE9 7AT,T,N,F,9,"",MONTGOMERY ROAD,EARL SHILTON,LEICESTER,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,B,A
{453D27A3-39C6-EF91-E050-A8C0630574D7},160500,2016-12-15 00:00,LE11 2DY,S,N,F,20,"",GARTON ROAD,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{3B7E0B90-1875-EA99-E050-A8C062057E77},142500,2016-07-15 00:00,LE16 7FH,F,N,L,JENNINGS COURT,3,ST MARYS ROAD,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,A
{3B7E0B90-16BB-EA99-E050-A8C062057E77},124500,2016-07-29 00:00,LE67 3AH,S,N,F,100,"",ALBERT ROAD,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{3B7E0B90-15E8-EA99-E050-A8C062057E77},165000,2016-07-29 00:00,LE11 3RL,S,N,F,11,"",KESWICK AVENUE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{3B7E0B90-17CA-EA99-E050-A8C062057E77},185000,2016-07-15 00:00,LE18 3QL,S,N,F,12,"",SHENLEY ROAD,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{3B7E0B90-17F0-EA99-E050-A8C062057E77},177833,2016-07-06 00:00,LE11 5EB,T,N,F,19,"",GOODS YARD CLOSE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{3B7E0B90-1826-EA99-E050-A8C062057E77},124000,2016-08-12 00:00,LE17 4BG,T,N,F,50,"",BAKER STREET,"",LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,A,A
{3B7E0B90-1645-EA99-E050-A8C062057E77},172000,2016-07-22 00:00,LE10 1SD,S,N,F,7,"",WARWICK GARDENS,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{3B7E0B90-183C-EA99-E050-A8C062057E77},183000,2016-08-18 00:00,LE65 2GS,D,N,L,43,"",TRINITY CLOSE,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{453D27A3-3D6F-EF91-E050-A8C0630574D7},205000,2016-12-16 00:00,LE18 3WB,S,N,F,37,"",HARRINGTON ROAD,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{47844C7F-FC27-8986-E050-A8C063056488},100000,2016-12-16 00:00,LE10 0BJ,T,N,F,80,"",TRINITY LANE,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{47844C7F-FCC3-8986-E050-A8C063056488},79000,2016-12-16 00:00,LE67 4GD,F,N,F,23,"",FLANNAGAN WAY,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{47844C7F-F9D9-8986-E050-A8C063056488},250000,2016-12-09 00:00,LE10 1UB,D,N,F,72,"",SOUTHFIELD ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{47844C7F-F9F5-8986-E050-A8C063056488},135000,2016-12-16 00:00,LE11 5DR,T,N,F,14,"",OXFORD STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{47844C7F-FA25-8986-E050-A8C063056488},159000,2016-12-16 00:00,LE13 0QQ,S,N,F,103,"",EDENDALE ROAD,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
